fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location
01c67a3990800dc3,Nordine Taleb,49858bf46dabf6fb,Vik Grujic,1e7483dbff40b84b,Nordine Taleb,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"April 16, 2014","Quebec City, Quebec, Canada"
e532ef88b8cb26d2,Richard Walsh,303a05a7aa3ff761,Chris Indich,d5b7fac960e58920,Richard Walsh,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"April 16, 2014","Quebec City, Quebec, Canada"
a7aac5f6b470ddaa,Mark Bocek,cf9d24e4bd0cf2ce,Mike de la Torre,1971869b7e054261,Mark Bocek,Decision - Split,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"April 16, 2014","Quebec City, Quebec, Canada"
a9660625bab5d4a3,Fabricio Werdum,492b202d2064e7a9,Travis Browne,3236bf606fe9fa5b,Fabricio Werdum,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Heavyweight Bout,"April 19, 2014","Orlando, Florida, USA"
f0b117394e52996b,Ryan Jimmo,bc3ec52ef70fc155,Sean O'Connell,cb52f9490c2dc069,Ryan Jimmo,KO/TKO,1,4:27,3 Rnd (5-5-5),Light Heavyweight Bout,"April 16, 2014","Quebec City, Quebec, Canada"
2e8d68b14dde981e,Sarah Kaufman,36df8e119aec6175,Leslie Smith,76984112f697631f,Sarah Kaufman,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,"April 16, 2014","Quebec City, Quebec, Canada"
0dd560fbcae2244f,Chad Laprise,c03a5022f8439f2a,Olivier Aubin-Mercier,55ee431411ccf07a,Chad Laprise,Decision - Split,3,5:00,3 Rnd (5-5-5),TUF Nations Canada vs. Australia Welterweight Tournament Title Bout,"April 16, 2014","Quebec City, Quebec, Canada"
3427667c1a265fe5,George Roop,3c0437fbeda06962,Dustin Kimura,fe91d254db77a7fc,George Roop,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"April 16, 2014","Quebec City, Quebec, Canada"
3406cf3e28e30d1b,Sam Stout,501b07aec9b8fc2d,KJ Noons,b7ffa72aa148599a,KJ Noons,KO/TKO,1,0:30,3 Rnd (5-5-5),Welterweight Bout,"April 16, 2014","Quebec City, Quebec, Canada"
3e6b5cb3c37bef3b,Dustin Poirier,029eaff01e6bb8f0,Akira Corassani,3f52ce18fb98008f,Dustin Poirier,KO/TKO,2,0:42,3 Rnd (5-5-5),Featherweight Bout,"April 16, 2014","Quebec City, Quebec, Canada"
357ba2f1da89031b,Jason Saggo,4ac1ecf8ce59ef23,Josh Shockley,1d36f1ac66cf689d,Jason Saggo,KO/TKO,1,4:57,3 Rnd (5-5-5),Lightweight Bout,"June 14, 2014","Vancouver, British Columbia, Canada"
2d7ead5ad0952423,Roland Delorme,173acb3f920082b8,Michinori Tanaka,64788ee44b062ded,Michinori Tanaka,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"June 14, 2014","Vancouver, British Columbia, Canada"
273f9520d75f3dac,Sheldon Westcott,ec2d13a87d3d9541,Elias Theodorou,34f88592c0ab7a54,Elias Theodorou,KO/TKO,2,4:41,3 Rnd (5-5-5),TUF Nations Canada vs. Australia Middleweight Tournament Title Bout,"April 16, 2014","Quebec City, Quebec, Canada"
a84d032d7d217427,Kajan Johnson,633a45d131192ffe,Tae Hyun Bang,9a2d3567abc02e34,Tae Hyun Bang,KO/TKO,3,2:01,3 Rnd (5-5-5),Lightweight Bout,"June 14, 2014","Vancouver, British Columbia, Canada"
5fe5c8cb69d8825e,Yves Jabouin,b4eeac608fc82f88,Mike Easton,bc7230f231701d66,Yves Jabouin,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"June 14, 2014","Vancouver, British Columbia, Canada"
594ce25b9e16c7ba,Valerie Letourneau,46a2f24feb258ae0,Elizabeth Phillips,dcbf01d605681ad1,Valerie Letourneau,Decision - Split,3,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,"June 14, 2014","Vancouver, British Columbia, Canada"
